################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.0547117319384923E-01 a       396     0    14     1     6
 -6.7627699042801651E-02 a       397     0    14     1     7
 -4.1056164592273764E-02 a       398     0    14     1     8
 -1.4653433421056894E-01 a       399     0    14     1     9
  2.7191213865396920E-02 a       400     0    14     1    10
 -8.1343499501133378E-03 a       401     0    14     1    11
  2.9109790480155212E-01 a       402     0    14     1    12
  2.0716920835074876E-01 a       403     0    14     1    13
 -2.8242126660572098E-01 a       404     0    14     1    14
  1.7517626057845459E-01 a       405     0    14     1    15
 -1.9240299667358568E-01 a       406     0    14     1    16
 -1.1163348998359721E-01 a       407     0    14     1    17
 -1.6030038541863834E-01 a       408     0    14     1    18
 -7.3259565121208875E-02 a       409     0    14     1    19
  2.7718361042100137E-01 a       410     0    14     1    20
  2.4064742014116383E-01 a       411     0    14     1    21
 -1.2236420888200204E-01 a       412     0    14     1    22
  3.4337591531138648E-02 a       413     0    14     1    23
 -2.5362757047303169E-01 a       414     0    14     1    24
  1.9904864290079574E-01 a       415     0    14     1    25
 -4.2270620875059234E-01 a       416     0    14     1    26
  1.4355826146484507E-01 a       417     0    14     1    27
 -1.2933353171721018E-01 a       418     0    14     1    28
 -4.9331372086511657E-02 a       419     0    14     1    29
  1.4917612439120068E-01 a       420     0    14     1    30
  2.0971290210874511E+00 a       421     0    15     1     1
 -4.5321944253846631E+00 a       422     0    15     1     2
 -7.8381281428528879E+01 a       423     0    15     1     3
 -5.1767707981257249E+00 a       424     0    15     1     4
 -2.3507927268349036E+01 a       425     0    15     1     5
  5.5474685207149385E+01 a       426     0    15     1     6
 -1.4314546933551217E+01 a       427     0    15     1     7
  1.2189951047794931E+01 a       428     0    15     1     8
 -1.0553677583867331E+02 a       429     0    15     1     9
  1.3791873400053726E+01 a       430     0    15     1    10
  2.7743252573355111E+01 a       431     0    15     1    11
  1.5397531975622398E+01 a       432     0    15     1    12
 -2.3387122427396228E+01 a       433     0    15     1    13
 -6.2306486579268324E+01 a       434     0    15     1    14
  1.2669729969547333E+01 a       435     0    15     1    15
 -3.4700799319261293E+01 a       436     0    15     1    16
 -2.7660840938205656E+01 a       437     0    15     1    17
 -2.1857299275496345E+01 a       438     0    15     1    18
 -7.2201569997304311E+00 a       439     0    15     1    19
 -1.8298339172523509E+01 a       440     0    15     1    20
 -6.4302892744130304E+01 a       441     0    15     1    21
  2.2954385872519887E+00 a       442     0    15     1    22
 -3.0405744724677675E+01 a       443     0    15     1    23
  1.9463086929721531E+01 a       444     0    15     1    24
 -2.1032718783103775E+01 a       445     0    15     1    25
 -4.4558887976289022E+01 a       446     0    15     1    26
 -6.9241953343068952E+00 a       447     0    15     1    27
 -2.2943742179667300E+01 a       448     0    15     1    28
 -2.0724483934692337E+01 a       449     0    15     1    29
  3.2960341336215627E+01 a       450     0    15     1    30
  2.7002077589720408E+01 a       451     0    16     1     1
  9.7393606389591501E+00 a       452     0    16     1     2
 -3.8105429519182941E+01 a       453     0    16     1     3
  1.9584307979477565E+01 a       454     0    16     1     4
  1.4470879374061870E+01 a       455     0    16     1     5
  2.0910782200058318E+01 a       456     0    16     1     6
  1.9670457183416744E+01 a       457     0    16     1     7
  1.2963863397456377E+01 a       458     0    16     1     8
  9.0003144626341776E+00 a       459     0    16     1     9
  8.0696284110745768E+00 a       460     0    16     1    10
 -2.7091582328581772E+01 a       461     0    16     1    11
 -9.5167087960414722E+00 a       462     0    16     1    12
 -2.5087301192342967E+01 a       463     0    16     1    13
  4.3937370562259552E+01 a       464     0    16     1    14
 -4.3144786490460120E+01 a       465     0    16     1    15
 -7.8700319623480990E+00 a       466     0    16     1    16
  1.9011193265372981E+01 a       467     0    16     1    17
  6.7317037943216079E+01 a       468     0    16     1    18
  1.6973873731919472E+01 a       469     0    16     1    19
  2.8695157622827320E+01 a       470     0    16     1    20
  5.8052362579938922E+01 a       471     0    16     1    21
 -2.5340038323262874E+01 a       472     0    16     1    22
  5.9641733447232141E+00 a       473     0    16     1    23
 -3.1879735049909449E+01 a       474     0    16     1    24
  2.9552069575799248E+01 a       475     0    16     1    25
  9.2147793866604366E-01 a       476     0    16     1    26
